"ClassName","Method","LocalLines","IdaLines","Ratio","LocalFile","LocalLine","IdaFile"
"CAnimus","SendMsg_LevelUp","7","21","0.33","D:\repo\WorldServer\Entities\CAnimus.cpp","1227","D:\repo\WorldServerIdaPro\functions\CAnimus__SendMsg_LevelUp_1.c"
"CDisplay","Clear","7","21","0.33","D:\repo\WorldServer\Entities\CDisplay.cpp","458","D:\repo\WorldServerIdaPro\functions\CDisplay__Clear_1.c"
"CGuildBattleController","CompleteClearGuildBattleRank","9","27","0.33","D:\repo\WorldServer\Entities\CGuildBattleController.cpp","536","D:\repo\WorldServerIdaPro\functions\CGuildBattleController__CompleteClearGuildBattleRank_1.c"
"CGuildBattleController","UpdateWinLose","7","21","0.33","D:\repo\WorldServer\Entities\CGuildBattleController.cpp","449","D:\repo\WorldServerIdaPro\functions\CGuildBattleController__UpdateWinLose_1.c"
"CGuildRoomSystem","GetRestTime","7","21","0.33","D:\repo\WorldServer\Entities\CGuildRoomSystem.cpp","340","D:\repo\WorldServerIdaPro\functions\CGuildRoomSystem__GetRestTime_1.c"
"CHolyStone","SendMsg_Destroy","7","21","0.33","D:\repo\WorldServer\Entities\CHolyStone.cpp","477","D:\repo\WorldServerIdaPro\functions\CHolyStone__SendMsg_Destroy_1.c"
"CItemStore","CalcSecIndex","8","24","0.33","D:\repo\WorldServer\Entities\CItemStore.cpp","254","D:\repo\WorldServerIdaPro\functions\CItemStore__CalcSecIndex_1.c"
"CItemStoreManager","InitLogger","11","33","0.33","D:\repo\WorldServer\Entities\CItemStoreManager.cpp","176","D:\repo\WorldServerIdaPro\functions\CItemStoreManager__InitLogger_1.c"
"ClassOrderProcessor","ClassOrderProcessor","8","24","0.33","D:\repo\WorldServer\Entities\ClassOrderProcessor.cpp","30","D:\repo\WorldServerIdaPro\functions\ClassOrderProcessor__ClassOrderProcessor_1.c"
"CMainThread","Complete_db_Update_Data_For_Trade","7","21","0.33","D:\repo\WorldServer\Entities\CMainThread_DQS.cpp","2641","D:\repo\WorldServerIdaPro\functions\CMainThread__Complete_db_Update_Data_For_Trade_1.c"
"CPlayer","AlterFP_Animus","8","24","0.33","D:\repo\WorldServer\Entities\CPlayer_Animus.cpp","326","D:\repo\WorldServerIdaPro\functions\CPlayer__AlterFP_Animus_1.c"
