file name	variable name	current value	ida value
WorldServer\Entities\CNuclearBombMgr.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\COreAmountMgr.h	m_pInstance	<decl-only>	<ambiguous-name:6>
WorldServer\Entities\CParkingUnit.h	s_nLiveNum	<decl-only>	<ambiguous-name:11>
WorldServer\Entities\CParticle.cpp	a3	<decl-only>	<not-found>
WorldServer\Entities\CPathFinder.cpp	s_pathfinder_stack_overflow	"pathfinder stack overflow"	<not-found>
WorldServer\Entities\CPathMgr.h	ms_BackupPath	<decl-only>	0x141372950 bytes[208] FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ...
WorldServer\Entities\CPcBangFavor.cpp	s_instance	<decl-only>	<not-found>
WorldServer\Entities\CPlayer_Cheat.cpp	fPos	{13.0f, -108.0f, 37.0f}	0x14096BBC0 bytes[12] 00 00 50 41 00 00 D8 C2 00 00 14 42
WorldServer\Entities\CPlayer_Cheat.cpp	fTarPos	{-249.0f, -1737.0f, -242.0f}	0x14096BBB0 bytes[12] 00 00 79 C3 00 20 D9 C4 00 00 72 C3
WorldServer\Entities\CPlayer_Missing.cpp	kBulletSlotPerPart	{-1, -1, -1, 0, 1, -1}	<not-found>
WorldServer\Entities\CPlayer_Missing.cpp	kWeaponPartPerBullet	{3, 4}	<not-found>
WorldServer\Entities\CPlayer_Missing.cpp	s_serialCounter	1	<not-found>
WorldServer\Entities\CPlayer.cpp	destroyTable	<multiline-init>	<not-found>
WorldServer\Entities\CPlayer.cpp	MiningTicket::_AuthKeyTicket::operator	=(const _AuthKeyTicket &src) const	<not-found>
WorldServer\Entities\CPlayer.cpp	successTable	<multiline-init>	<not-found>
WorldServer\Entities\CPlayer.cpp	zeroTable	<multiline-init>	<not-found>
WorldServer\Entities\CPlayer.h	ms_dwCount	<decl-only>	0x184A6FBE0 bytes[4] FF FF FF FF
WorldServer\Entities\CPlayer.h	ms_pXmas_Snow_Bullet_Effect	<decl-only>	0x140988FA8 bytes[8] FF FF FF FF FF FF FF FF
WorldServer\Entities\CPlayer.h	ms_pXmas_Snow_Effect	<decl-only>	0x140988FA0 bytes[8] FF FF FF FF FF FF FF FF
