"file","line","name","pack","in_pack1"
"WorldServer\Entities\quest_download_result_zocl.h","7","_quest_download_result_zocl","1","True"
"WorldServer\Entities\Quest_fld.h","39","_Quest_fld","1","True"
"WorldServer\Entities\quest_history_download_result_zocl.h","6","_quest_history_download_result_zocl","1","True"
"WorldServer\Entities\QuestHappenEvent_fld.h","26","_QuestHappenEvent_fld","1","True"
"WorldServer\Entities\radar_char_list_result_zocl.h","6","_radar_char_list_result_zocl","1","True"
"WorldServer\Entities\RadarItem_fld.h","10","_RadarItem_fld","1","True"
"WorldServer\Entities\RecoveryItem_fld.h","8","_RecoveryItem_fld","1","True"
"WorldServer\Entities\request_csi_buy_clzo.h","7","_request_csi_buy_clzo","1","True"
"WorldServer\Entities\ResourceItem_fld.h","14","_ResourceItem_fld","1","True"
"WorldServer\Entities\result_csi_buy_zocl.h","6","_result_csi_buy_zocl","1","True"
"WorldServer\Entities\result_csi_error_zocl.h","6","_result_csi_error_zocl","1","True"
"WorldServer\Entities\result_csi_goods_list_zocl.h","6","_result_csi_goods_list_zocl","1","True"
"WorldServer\Entities\RingItem_fld.h","8","_RingItem_fld","1","True"
"WorldServer\Entities\select_avator_report_wrac.h","8","_select_avator_report_wrac","1","True"
"WorldServer\Entities\sell_store_request_clzo.h","6","_sell_store_request_clzo","1","True"
"WorldServer\Entities\sell_store_result_zocl.h","6","_sell_store_result_zocl","1","True"
"WorldServer\Entities\SetItemEff_fld.h","7","_SetItemEff_fld","1","True"
"WorldServer\Entities\sf_delay_download_result_zocl.h","6","_sf_delay_download_result_zocl","1","True"
"WorldServer\Entities\SiegeKitItem_fld.h","8","_SiegeKitItem_fld","1","True"
"WorldServer\Entities\skill_fld.h","8","_skill_fld","1","True"
"WorldServer\Entities\start_world_request_wrac.h","6","_start_world_request_wrac","1","True"
"WorldServer\Entities\starting_vote_inform_zocl.h","6","_starting_vote_inform_zocl","1","True"
"WorldServer\Entities\store_list_result_zocl.h","6","_store_list_result_zocl","1","True"
"WorldServer\Entities\StoreList_fld.h","13","_StoreList_fld","1","True"
"WorldServer\Entities\talik_crystal_exchange_clzo.h","6","_talik_crystal_exchange_clzo","1","True"
"WorldServer\Entities\talik_crystal_exchange_zocl.h","6","_talik_crystal_exchange_zocl","1","True"
"WorldServer\Entities\target_monster_aggro_inform_zocl.h","6","_target_monster_aggro_inform_zocl","1","True"
"WorldServer\Entities\TicketItem_fld.h","7","_TicketItem_fld","1","True"
"WorldServer\Entities\TimeItem_fld.h","6","_TimeItem_fld","1","True"
"WorldServer\Entities\TOWNItem_fld.h","8","_TOWNItem_fld","1","True"
"WorldServer\Entities\trans_account_report_wrac.h","7","_trans_account_report_wrac","1","True"
"WorldServer\Entities\trans_gm_msg_inform_zocl.h","6","_trans_gm_msg_inform_zocl","1","True"
"WorldServer\Entities\trans_ship_renew_ticket_result_zocl.h","6","_trans_ship_renew_ticket_result_zocl","1","True"
"WorldServer\Entities\TrapItem_fld.h","8","_TrapItem_fld","1","True"
"WorldServer\Entities\trunk_change_passwd_result_zocl.h","6","_trunk_change_passwd_result_zocl","1","True"
"WorldServer\Entities\trunk_download_result_zocl.h","6","_trunk_download_result_zocl","1","True"
"WorldServer\Entities\trunk_est_result_zocl.h","6","_trunk_est_result_zocl","1","True"
"WorldServer\Entities\trunk_extend_result_zocl.h","6","_trunk_extend_result_zocl","1","True"
"WorldServer\Entities\trunk_hint_answer_result_zocl.h","6","_trunk_hint_answer_result_zocl","1","True"
"WorldServer\Entities\trunk_io_money_result_zocl.h","6","_trunk_io_money_result_zocl","1","True"
"WorldServer\Entities\trunk_io_result_zocl.h","6","_trunk_io_result_zocl","1","True"
"WorldServer\Entities\trunk_potionsocket_division_result_zocl.h","6","_trunk_potionsocket_division_result_zocl","1","True"
"WorldServer\Entities\trunk_pw_hint_index_result_zocl.h","6","_trunk_pw_hint_index_result_zocl","1","True"
"WorldServer\Entities\trunk_res_division_result_zocl.h","6","_trunk_res_division_result_zocl","1","True"
"WorldServer\Entities\unit_download_result_zocl.h","7","_unit_download_result_zocl","1","True"
"WorldServer\Entities\unit_pack_fill_request_clzo.h","6","_unit_pack_fill_request_clzo","1","True"
"WorldServer\Entities\UnitBullet_fld.h","7","_UnitBullet_fld","1","True"
"WorldServer\Entities\UnitFrame_fld.h","7","_UnitFrame_fld","1","True"
"WorldServer\Entities\UnitKeyItem_fld.h","8","_UnitKeyItem_fld","1","True"
"WorldServer\Entities\UnitPart_fld.h","7","_UnitPart_fld","1","True"
"WorldServer\Entities\UNmannedminer_fld.h","8","_UNmannedminer_fld","1","True"
"WorldServer\Entities\unmannedtrader_buy_item_request_clzo.h","6","_unmannedtrader_buy_item_request_clzo","1","True"
"WorldServer\Entities\unmannedtrader_buy_item_result_zocl.h","6","_unmannedtrader_buy_item_result_zocl","1","True"
"WorldServer\Entities\unmannedtrader_close_item_inform_zocl.h","6","_unmannedtrader_close_item_inform_zocl","1","True"
"WorldServer\Entities\unmannedtrader_continue_item_inform_zocl.h","6","_unmannedtrader_continue_item_inform_zocl","1","True"
"WorldServer\Entities\unmannedtrader_re_regist_request_clzo.h","6","_unmannedtrader_re_regist_request_clzo","1","True"
"WorldServer\Entities\unmannedtrader_re_regist_result_zocl.h","6","_unmannedtrader_re_regist_result_zocl","1","True"
"WorldServer\Entities\unmannedtrader_Regist_item_inform_zocl.h","6","_unmannedtrader_Regist_item_inform_zocl","1","True"
"WorldServer\Entities\unmannedtrader_regist_item_success_result_zocl.h","6","_unmannedtrader_regist_item_success_result_zocl","1","True"
"WorldServer\Entities\unmannedtrader_search_list_request_clzo.h","6","_unmannedtrader_search_list_request_clzo","1","True"
"WorldServer\Entities\WeaponItem_fld.h","8","_WeaponItem_fld","1","True"
"WorldServer\Entities\WorldSchedule_fld.h","7","_WorldSchedule_fld","1","True"
"WorldServer\Entities\wrac_packets.h","7","_open_world_request_wrac","1","True"
"WorldServer\Entities\wrac_packets.h","17","_cashdb_setting_request_wrac","1","True"
"WorldServer\Entities\wrac_packets.h","22","_uilock_user_refresh_info_request_wrac","1","True"
"WorldServer\Entities\wrac_packets.h","32","_logout_account_request_wrac","1","True"
