target	action
_potionsocket_division_result_zocl	create_missing
_potionsocket_separation_request_clzo	create_missing
_potionsocket_separation_result_zocl	create_missing
_progress_vote_inform_zocl	create_missing
_propose_vote_request_clzo	create_missing
_pt_appoint_inform_request_zocl::__body	create_missing
_pt_automine_getoutore_clzo	create_missing
_pt_automine_getoutore_zocl	already_ok
_pt_automine_merge_clzo	create_missing
_pt_automine_state_zocl	already_ok
_pt_inform_commission_income_zocl	already_ok
_pt_inform_punishment_zocl	already_ok
_pt_request_punishment_clzo	create_missing
_pt_result_appoint_zocl	already_ok
_pt_result_fcandidacy_list_zocl::__candi_info	create_missing
_pt_trans_votepaper_zocl::__body	create_missing
_punctuation	create_missing
_pvp_cash_point_recorver_request_clzo	create_missing
_pvp_cash_point_recover_result_zocl	create_missing
_pvp_cash_recover_itemlist_result_zocl	already_ok
_pvp_order_view_point_inform_zocl	create_missing
_pvp_rank_list_result_data_zocl	already_ok
_qry_case_amine_battery_discharge	patch_existing
_qry_case_amine_batterycharge	patch_existing
_qry_case_amine_mineore	patch_existing
_qry_case_amine_moveore	patch_existing
_qry_case_amine_newowner	patch_existing
_qry_case_amine_selore	patch_existing
_qry_case_amine_workstate	patch_existing
_quest_return_item_after_quest_zocl	create_missing
_raceboss_msg_confirm_zowb	patch_existing
_racebosssms_fromweb_send_error_result_zowb	patch_existing
_radar_char_list_result_zocl::_char_info	create_missing
_recv_hsk_quest_inform_zocl	create_missing
_refresh_group_target_position_zocl	create_missing
_reged_char_result_zone	patch_existing
_release_siege_mode_other_inform_zocl	create_missing
_remaintime_inform_zocl	create_missing
_remaintime_pcbang_request_bizo	create_missing
_remaintime_personal_request_bizo	create_missing
_repastespecial	create_missing
_request_csi_buy_clzo::__item	create_missing
_res_division_request_clzo	create_missing
_res_division_result_zocl	create_missing
_res_separation_request_clzo	create_missing
_res_separation_result_zocl	create_missing
_result_csi_buy_zocl	already_ok
_result_csi_buy_zocl::__item	create_missing
_result_csi_goods_list_zocl	already_ok
_return_gate_fix_position_zocl	create_missing
_reward_add_item_zocl	create_missing
_s__CatchableType	skip_non_rf
_s__CatchableTypeArray	skip_non_rf
_s__RTTIBaseClassDescriptor2	skip_non_rf
_s__RTTICompleteObjectLocator	skip_non_rf
_s__RTTICompleteObjectLocator2	skip_non_rf
_s__ThrowInfo	skip_non_rf
_sel_char_result_zone	patch_existing
_selchange	create_missing
_select_avator_report_wrac	already_ok
_select_class_request_clzo	create_missing
_select_waited_quest_command_zocl	create_missing
_sell_store_request_clzo	already_ok
_sell_store_request_clzo::_list	create_missing
_sell_store_result_zocl	already_ok
_send_fromweb_raceboss_msg_request_zowb	create_missing
_send_raceboss_msg_request_zowb	create_missing
_server_notify_inform_zone	patch_existing
_set_group_map_point_request_clzo	create_missing
_set_item_check_request_clzo	create_missing
_set_item_check_result_zocl	create_missing
_set_target_object_result_zocl	create_missing
_sf_delay_download_result_zocl::_eff_list	create_missing
_sf_delay_download_result_zocl::_mas_list	create_missing
_shield_equip_dur_dec_zocl	create_missing
_skill_recall_teleport_request_clzo	create_missing
_skill_request_clzo	create_missing
_start_world_request_wrac	already_ok
_started_vote_inform_zocl	already_ok
_starting_vote_inform_zocl	already_ok
_stat_inform_zocl	create_missing
_state_inform_zocl	create_missing
_stone_create_zocl	create_missing
_stone_destroy_zocl	create_missing
_stone_enter_inform_zocl	create_missing
_stone_fixpositon_zocl	create_missing
_store_list_result_zocl	already_ok
_suggested_matter_change_taxrate	patch_existing
_take_loot_item_inform_zocl	create_missing
_talik_crystal_exchange_clzo::_list	create_missing
_target_monster_aggro_inform_zocl	already_ok
_target_monster_aggro_inform_zocl::_aggro_node	create_missing
_target_monster_contsf_allinform_zocl	already_ok
_target_object_hp_inform_clzo	create_missing
_target_player_damage_contsf_allinform_zocl	already_ok
_target_player_damage_contsf_allinform_zocl::_playercontsf	create_missing
_teleport_error_result_zocl	create_missing
_throw_skill_result_one_zocl::__effected_list	create_missing
_throw_unit_result_other_zocl	create_missing
_total_guild_rank_request_clzo	create_missing
_total_guild_rank_result_zocl	already_ok
_tower_create_zocl	create_missing
_tower_destroy_zocl	create_missing
_trans_account_inform_acwr	create_missing
_trans_account_report_wrac	already_ok
_trans_gm_msg_inform_zocl	already_ok
_trans_ship_state_inform_zocl	create_missing
_trans_ship_ticket_inform_zocl	create_missing
_trans_ship_ticket_inform_zocl::__list	create_missing
_trans_ship_ticket_pass_inform_zocl	create_missing
_transform_siege_mode_other_inform_zocl	create_missing
_trap_alter_transpar_inform_zocl	create_missing
_trap_create_zocl	create_missing
_trap_destroy_zocl	create_missing
_trap_fixpositon_zocl	create_missing
_trunk_alter_item_slot_request_clzo	create_missing
_trunk_download_result_zocl	already_ok
_trunk_download_result_zocl::_list	create_missing
_trunk_est_result_zocl	already_ok
_trunk_extend_result_zocl	already_ok
_trunk_io_money_request_clzo	create_missing
_trunk_io_money_result_zocl	already_ok
_trunk_io_move_request_clzo	create_missing
_trunk_io_result_zocl	already_ok
_trunk_potionsocket_division_request_clzo	create_missing
_trunk_potionsocket_division_result_zocl	already_ok
_trunk_res_division_request_clzo	create_missing
_trunk_res_division_result_zocl	already_ok
_uilock_init_request_wrac	create_missing
_uilock_init_result_acwr	create_missing
_uilock_update_request_wrac	create_missing
_uilock_update_result_acwr	create_missing
_uilock_user_refresh_info_request_wrac	already_ok
_uilock_user_refresh_info_result_acwr	create_missing
_unit_alter_fee_inform_zocl	create_missing
_unit_booster_charge_inform_zocl	create_missing
_unit_bullet_fill_request_clzo	create_missing
_unit_bullet_fill_result_zocl	create_missing
_unit_delivery_request_clzo	create_missing
_unit_delivery_result_zocl	create_missing
_unit_force_return_inform_zocl	create_missing
_unit_frame_buy_request_clzo	create_missing
_unit_frame_buy_result_zocl	create_missing
_unit_frame_repair_request_clzo	create_missing
_unit_frame_repair_result_zocl	create_missing
_unit_pack_fill_request_clzo	already_ok
_unit_pack_fill_request_clzo::__list	create_missing
_unit_pack_fill_result_zocl	create_missing
_unit_part_tuning_request_clzo	create_missing
_unit_return_result_zocl	create_missing
_unit_sell_request_clzo	create_missing
_unmannedtrader_Regist_item_inform_zocl::__list	create_missing
_unmannedtrader_Sell_Wait_item_inform_zocl	create_missing
_unmannedtrader_Sell_Wait_item_inform_zocl::__list	create_missing
_unmannedtrader_buy_item_request_clzo	already_ok
_unmannedtrader_buy_item_result_zocl	already_ok
_unmannedtrader_buy_item_result_zocl::__list	create_missing
