name	file	line	decl
_guild_battle_rank_list_request_clzo	tes.h	79743	struct __unaligned __declspec(align(2)) _guild_battle_rank_list_request_clzo
_guild_battle_rank_list_result_no_data_zocl	tes.h	55197	struct __unaligned __declspec(align(1)) _guild_battle_rank_list_result_no_data_zocl
_guild_battle_reserve_msg_zowb	tes.h	54977	struct __unaligned __declspec(align(1)) _guild_battle_reserve_msg_zowb
_guild_battle_reserved_schedule_request_clzo	tes.h	79750	struct __unaligned __declspec(align(2)) _guild_battle_reserved_schedule_request_clzo
_guild_battle_restart_zocl	tes.h	54861	struct _guild_battle_restart_zocl
_guild_battle_start_zocl	tes.h	54876	struct _guild_battle_start_zocl
_guild_del_join_applier_inform_zocl	tes.h	59295	struct __unaligned __declspec(align(1)) _guild_del_join_applier_inform_zocl
_guild_honorguild_mark_zocl	tes.h	82368	struct __unaligned __declspec(align(1)) _guild_honorguild_mark_zocl
_guild_info_update_inform_zocl	tes.h	59234	struct __unaligned __declspec(align(1)) _guild_info_update_inform_zocl
_guild_io_money_inform_zocl	tes.h	59312	struct __unaligned __declspec(align(2)) _guild_io_money_inform_zocl
_guild_join_accept_fail_zocl	tes.h	82142	struct __unaligned __declspec(align(1)) _guild_join_accept_fail_zocl
_guild_join_accept_inform_zocl	tes.h	59301	struct _guild_join_accept_inform_zocl
_guild_join_accept_request_clzo	tes.h	79704	struct __unaligned __declspec(align(1)) _guild_join_accept_request_clzo
_guild_join_apply_result_zocl	tes.h	82109	struct __unaligned __declspec(align(2)) _guild_join_apply_result_zocl
_guild_join_other_inform_zocl	tes.h	82160	struct __unaligned __declspec(align(2)) _guild_join_other_inform_zocl
_guild_leave_inform_zocl	tes.h	59252	struct __unaligned __declspec(align(2)) _guild_leave_inform_zocl
_guild_member_login_inform_zocl	tes.h	59334	struct __unaligned __declspec(align(1)) _guild_member_login_inform_zocl
_guild_member_pos_inform_zocl	tes.h	59346	struct __unaligned __declspec(align(1)) _guild_member_pos_inform_zocl
_guild_offer_suggest_request_clzo	tes.h	29608	struct __cppobj __unaligned __declspec(align(1)) _guild_offer_suggest_request_clzo
_guild_push_money_result_zocl	tes.h	82153	struct __unaligned __declspec(align(1)) _guild_push_money_result_zocl
_guild_vote_complete_zocl	tes.h	59278	struct __unaligned __declspec(align(1)) _guild_vote_complete_zocl
_guild_vote_request_clzo	tes.h	79720	struct __unaligned __declspec(align(1)) _guild_vote_request_clzo
_guild_vote_result_zocl	tes.h	82136	struct __unaligned __declspec(align(1)) _guild_vote_result_zocl
_guildroom_enter_result_zocl	tes.h	31968	struct __unaligned __declspec(align(1)) _guildroom_enter_result_zocl
_holy_complete_quest_inform_zowb	tes.h	58590	struct __unaligned __declspec(align(1)) _holy_complete_quest_inform_zowb
_holy_keeper_change_chaos_inform	tes.h	58657	struct __unaligned __declspec(align(1)) _holy_keeper_change_chaos_inform
_holy_minetime_extend_inform_zowb	tes.h	58558	struct __unaligned __declspec(align(1)) _holy_minetime_extend_inform_zowb
_holystone_alter_oper_circle_inform_zocl	tes.h	80576	struct __unaligned __declspec(align(1)) _holystone_alter_oper_circle_inform_zocl
_insert_item_inform_zocl	tes.h	81698	struct __unaligned __declspec(align(2)) _insert_item_inform_zocl
_insert_quest_failure_zocl	tes.h	81927	struct __unaligned __declspec(align(2)) _insert_quest_failure_zocl
_insert_quest_item_inform_zocl	tes.h	81708	struct __unaligned __declspec(align(1)) _insert_quest_item_inform_zocl
_itembox_create_zocl	tes.h	80309	struct __unaligned __declspec(align(1)) _itembox_create_zocl
_itembox_fixpositon_zocl	tes.h	80327	struct __unaligned __declspec(align(2)) _itembox_fixpositon_zocl
_itembox_state_change_zocl	tes.h	80339	struct __unaligned __declspec(align(1)) _itembox_state_change_zocl
_keeper_create_zocl	tes.h	80583	struct __unaligned __declspec(align(2)) _keeper_create_zocl
_keeper_destroy_zocl	tes.h	80591	struct __unaligned __declspec(align(1)) _keeper_destroy_zocl
_keeper_enter_inform_zocl	tes.h	58616	struct _keeper_enter_inform_zocl
_keeper_fixpositon_zocl	tes.h	80605	struct __unaligned __declspec(align(2)) _keeper_fixpositon_zocl
_keeper_move_zocl	tes.h	80597	struct __unaligned __declspec(align(1)) _keeper_move_zocl
_keeper_real_move_zocl	tes.h	80613	struct __unaligned __declspec(align(2)) _keeper_real_move_zocl
_last_attacker_for_the_keeper_inform_zowb	tes.h	58547	struct __unaligned __declspec(align(2)) _last_attacker_for_the_keeper_inform_zowb
_last_effect_change_inform_zocl	tes.h	80221	struct __unaligned __declspec(align(1)) _last_effect_change_inform_zocl
_lend_item_time_expired_zocl	tes.h	82417	struct __unaligned __declspec(align(1)) _lend_item_time_expired_zocl
_level_up_zocl	tes.h	80925	struct __unaligned __declspec(align(1)) _level_up_zocl
_linkboard_download_result_zocl	tes.h	81139	struct __unaligned __declspec(align(1)) _linkboard_download_result_zocl
_make_tower_result_zocl	tes.h	81716	struct __unaligned __declspec(align(1)) _make_tower_result_zocl
_make_trap_result_zocl	tes.h	81751	struct __unaligned __declspec(align(1)) _make_trap_result_zocl
_map_env_code_inform_zocl	tes.h	82267	struct __unaligned __declspec(align(1)) _map_env_code_inform_zocl
_mine_complete_result_zocl	tes.h	81386	struct __unaligned __declspec(align(1)) _mine_complete_result_zocl
_money_supply_gatering_inform_zowb	tes.h	33376	struct _money_supply_gatering_inform_zowb::_money_supply
_monster_change_rotate_zocl	tes.h	80435	struct __unaligned __declspec(align(1)) _monster_change_rotate_zocl
_monster_change_state_zocl	tes.h	80429	struct __unaligned __declspec(align(2)) _monster_change_state_zocl
_monster_create_zocl	tes.h	80397	struct __unaligned __declspec(align(1)) _monster_create_zocl
_monster_destroy_zocl	tes.h	80455	struct __unaligned __declspec(align(1)) _monster_destroy_zocl
_monster_fixpositon_zocl	tes.h	80407	struct __unaligned __declspec(align(1)) _monster_fixpositon_zocl
_monster_move_zocl	tes.h	80462	struct __unaligned __declspec(align(2)) _monster_move_zocl
_monster_present_emotion_zocl	tes.h	80447	struct __unaligned __declspec(align(1)) _monster_present_emotion_zocl
