name	required_pack	status	file	line	kind	current_pack	decl
_cancel_raceboss_msg_request_ctzo	1	no_match_in_entities					
_cancel_raceboss_msg_request_zowb	1	no_match_in_entities					
_cancel_raceboss_msg_result_zoct	1	missing_pack_scope	WorldServer/Entities/cancel_raceboss_msg_result_zoct.h	5	struct		struct __unaligned __declspec(align(2)) _cancel_raceboss_msg_result_zoct
_cash_discount_event_inform_zocl	1	no_match_in_entities					
_cash_event_inform_zocl::__lim_sale::__Item	1	no_match_in_entities					
_cast_vote_request_clzo	1	no_match_in_entities					
_cast_vote_result_zocl	1	no_match_in_entities					
_change_billing_type_inform_zocl	1	no_match_in_entities					
_change_class_other_zocl	1	no_match_in_entities					
_change_type_request_bizo	1	no_match_in_entities					
_character_db_load	1	ok	WorldServer/Entities/CPlayer.h	175	struct	1	struct __cppobj __unaligned __declspec(align(2)) _character_db_load
_character_disconnect_request_acwr	1	no_match_in_entities					
_character_disconnect_result_wrac	1	ok	WorldServer/Entities/character_disconnect_result_wrac.h	6	struct	1	struct __unaligned __declspec(align(1)) _character_disconnect_result_wrac
_chat_guild_request_clzo	1	no_match_in_entities					
_chat_message_receipt_udp	1	missing_pack_scope	WorldServer/Entities/chat_message_receipt_udp.h	5	struct		struct __unaligned __declspec(align(2)) _chat_message_receipt_udp
_chat_steal_message_gm_zocl	1	ok	WorldServer/Entities/chat_steal_message_gm_zocl.h	6	struct	1	struct __cppobj __unaligned __declspec(align(2)) _chat_steal_message_gm_zocl
_check_is_block_ip_result_acwr	1	no_match_in_entities					
_circle_zone_fix_position_zocl	1	no_match_in_entities					
_class_skill_recall_teleport_request_clzo	1	no_match_in_entities					
_class_skill_result_other_zocl	1	no_match_in_entities					
_combine_ex_item_accept_request_clzo	1	ok	WorldServer/Entities/combine_ex_item_accept_request_clzo.h	7	struct	1	struct __cppobj __unaligned __declspec(align(2)) _combine_ex_item_accept_request_clzo
_combine_ex_item_accept_request_clzo	1	ok	WorldServer/Entities/CPlayer.h	44	struct	1	struct _combine_ex_item_accept_request_clzo;
