ea,segment,name,kind,value,used_by_functions,log_like
0x1406EBA58,.rdata,MyTimer::_nTick$initializer$,bytes[8],50 5B 6E 40 01 00 00 00,,0
0x1406EBA68,.rdata,UIDGenerator::_cs$initializer$,bytes[8],90 5D 6E 40 01 00 00 00,,0
0x1406EBA78,.rdata,g_WheatyExceptionReport$initializer$,bytes[8],60 5E 6E 40 01 00 00 00,,0
0x1406EBC70,.rdata,__xc_z,bytes[8],00 00 00 00 00 00 00 00,__tmainCRTStartup,0
0x1406EBD80,.rdata,__xi_a,bytes[8],00 00 00 00 00 00 00 00,__tmainCRTStartup,0
0x1406EBE90,.rdata,pcinit,bytes[8],10 D2 4D 40 01 00 00 00,,0
0x1406EBFA0,.rdata,pinit,bytes[8],B0 E2 4D 40 01 00 00 00,,0
0x1406EC0B0,.rdata,__xi_z,bytes[8],00 00 00 00 00 00 00 00,__tmainCRTStartup,0
0x1406EC1E0,.rdata,aBadAllocation_0,string,"""bad allocation""",,0
0x1406EC1F0,.rdata,aInvalidDatetim_1,string,"""Invalid DateTime""",,1
0x1406EC208,.rdata,aInvalidDatetim_2,string,"""Invalid DateTimeSpan""",,1
0x1406EC220,.rdata,aLicensepopupdl,string,"""LicensePopupDlg""",,0
0x1406EC240,.rdata,aCProgramFilesX_1,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC290,.rdata,aCProgramFilesX_3,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC2E0,.rdata,aCProgramFilesX_4,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC330,.rdata,aWith,string,"""with """,,0
0x1406EC338,.rdata,aElements,string,""" elements""",,0
0x1406EC350,.rdata,aCProgramFilesX_5,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC3A0,.rdata,aCProgramFilesX_6,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC3F0,.rdata,aCProgramFilesX_7,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC440,.rdata,aCProgramFilesX_8,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC490,.rdata,aCProgramFilesX_9,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC4E0,.rdata,aCProgramFilesX_10,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC530,.rdata,aCProgramFilesX_11,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC580,.rdata,aCProgramFilesX_12,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC5D0,.rdata,aCProgramFilesX_13,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC620,.rdata,aCProgramFilesX_14,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC670,.rdata,aCProgramFilesX_15,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC6C0,.rdata,aCProgramFilesX_16,string,"""C:\\Program Files (x86)\\Microsoft Visual Studio 8\\VC\\atlmfc\\include\\afxtempl.h""",,0
0x1406EC87C,.rdata,?_Min@?$AtlLimits@H@ATL@@2HB,bytes[1],00,,0
